model,label,precision,recall,f1,support
deepseek_deepseek_v3_2_sentiment,Negative,0.884393063583815,0.6891891891891891,0.7746835443037975,222
deepseek_deepseek_v3_2_sentiment,Neutral,0.48502994011976047,0.7714285714285715,0.5955882352941176,105
deepseek_deepseek_v3_2_sentiment,Positive,0.8616352201257862,0.8011695906432749,0.8303030303030303,171
deepseek_deepseek_v3_2_sentiment,Postitive,0.0,0.0,0.0,1
openai_gpt_5_4_nano_sentiment,Negative,0.8047619047619048,0.7612612612612613,0.7824074074074074,222
openai_gpt_5_4_nano_sentiment,Neutral,0.5675675675675675,0.6,0.5833333333333334,105
openai_gpt_5_4_nano_sentiment,Positive,0.807909604519774,0.8362573099415205,0.8218390804597702,171
openai_gpt_5_4_nano_sentiment,Postitive,0.0,0.0,0.0,1
google_gemma_4_26b_a4b_it_sentiment,Negative,0.8663594470046083,0.8468468468468469,0.856492027334852,222
google_gemma_4_26b_a4b_it_sentiment,Neutral,0.6186440677966102,0.6952380952380952,0.6547085201793722,105
google_gemma_4_26b_a4b_it_sentiment,Positive,0.8719512195121951,0.8362573099415205,0.8537313432835821,171
google_gemma_4_26b_a4b_it_sentiment,Postitive,0.0,0.0,0.0,1
anthropic_claude_3_5_haiku_sentiment,Negative,0.89171974522293,0.6306306306306306,0.7387862796833773,222
anthropic_claude_3_5_haiku_sentiment,Neutral,0.43457943925233644,0.8857142857142857,0.5830721003134797,105
anthropic_claude_3_5_haiku_sentiment,Positive,0.921875,0.6900584795321637,0.7892976588628763,171
anthropic_claude_3_5_haiku_sentiment,Postitive,0.0,0.0,0.0,1
x_ai_grok_4_20_multi_agent_sentiment,Negative,0.828125,0.4774774774774775,0.6057142857142858,222
x_ai_grok_4_20_multi_agent_sentiment,Neutral,0.7,0.3333333333333333,0.45161290322580644,105
x_ai_grok_4_20_multi_agent_sentiment,Positive,0.5047021943573667,0.9415204678362573,0.6571428571428571,171
x_ai_grok_4_20_multi_agent_sentiment,Postitive,0.0,0.0,0.0,1
mistralai_mistral_small_2603_sentiment,Negative,0.7759336099585062,0.8423423423423423,0.8077753779697624,222
mistralai_mistral_small_2603_sentiment,Neutral,0.6455696202531646,0.4857142857142857,0.5543478260869565,105
mistralai_mistral_small_2603_sentiment,Positive,0.8044692737430168,0.8421052631578947,0.8228571428571428,171
mistralai_mistral_small_2603_sentiment,Postitive,0.0,0.0,0.0,1
qwen_qwen3_6_plus_sentiment,Negative,0.8584070796460177,0.8738738738738738,0.8660714285714286,222
qwen_qwen3_6_plus_sentiment,Neutral,0.71875,0.6571428571428571,0.6865671641791045,105
qwen_qwen3_6_plus_sentiment,Positive,0.8531073446327684,0.8830409356725146,0.867816091954023,171
qwen_qwen3_6_plus_sentiment,Postitive,0.0,0.0,0.0,1
xiaomi_mimo_v2_flash_sentiment,Negative,0.8784530386740331,0.7162162162162162,0.7890818858560794,222
xiaomi_mimo_v2_flash_sentiment,Neutral,0.5094339622641509,0.7714285714285715,0.6136363636363636,105
xiaomi_mimo_v2_flash_sentiment,Positive,0.8535031847133758,0.783625730994152,0.8170731707317073,171
xiaomi_mimo_v2_flash_sentiment,Postitive,0.0,0.0,0.0,1
