model,true_label,predicted_label,count
deepseek_deepseek_v3_2_sentiment,Negative,Negative,153
deepseek_deepseek_v3_2_sentiment,Negative,Neutral,59
deepseek_deepseek_v3_2_sentiment,Negative,Positive,10
deepseek_deepseek_v3_2_sentiment,Negative,Postitive,0
deepseek_deepseek_v3_2_sentiment,Neutral,Negative,13
deepseek_deepseek_v3_2_sentiment,Neutral,Neutral,81
deepseek_deepseek_v3_2_sentiment,Neutral,Positive,11
deepseek_deepseek_v3_2_sentiment,Neutral,Postitive,0
deepseek_deepseek_v3_2_sentiment,Positive,Negative,7
deepseek_deepseek_v3_2_sentiment,Positive,Neutral,27
deepseek_deepseek_v3_2_sentiment,Positive,Positive,137
deepseek_deepseek_v3_2_sentiment,Positive,Postitive,0
deepseek_deepseek_v3_2_sentiment,Postitive,Negative,0
deepseek_deepseek_v3_2_sentiment,Postitive,Neutral,0
deepseek_deepseek_v3_2_sentiment,Postitive,Positive,1
deepseek_deepseek_v3_2_sentiment,Postitive,Postitive,0
openai_gpt_5_4_nano_sentiment,Negative,Negative,169
openai_gpt_5_4_nano_sentiment,Negative,Neutral,35
openai_gpt_5_4_nano_sentiment,Negative,Positive,18
openai_gpt_5_4_nano_sentiment,Negative,Postitive,0
openai_gpt_5_4_nano_sentiment,Neutral,Negative,26
openai_gpt_5_4_nano_sentiment,Neutral,Neutral,63
openai_gpt_5_4_nano_sentiment,Neutral,Positive,15
openai_gpt_5_4_nano_sentiment,Neutral,Postitive,0
openai_gpt_5_4_nano_sentiment,Positive,Negative,15
openai_gpt_5_4_nano_sentiment,Positive,Neutral,13
openai_gpt_5_4_nano_sentiment,Positive,Positive,143
openai_gpt_5_4_nano_sentiment,Positive,Postitive,0
openai_gpt_5_4_nano_sentiment,Postitive,Negative,0
openai_gpt_5_4_nano_sentiment,Postitive,Neutral,0
openai_gpt_5_4_nano_sentiment,Postitive,Positive,1
openai_gpt_5_4_nano_sentiment,Postitive,Postitive,0
google_gemma_4_26b_a4b_it_sentiment,Negative,Negative,188
google_gemma_4_26b_a4b_it_sentiment,Negative,Neutral,25
google_gemma_4_26b_a4b_it_sentiment,Negative,Positive,9
google_gemma_4_26b_a4b_it_sentiment,Negative,Postitive,0
google_gemma_4_26b_a4b_it_sentiment,Neutral,Negative,21
google_gemma_4_26b_a4b_it_sentiment,Neutral,Neutral,73
google_gemma_4_26b_a4b_it_sentiment,Neutral,Positive,11
